Country,name
ae,45
af,1
am,2
ao,1
ar,972
at,7
au,635
az,2
ba,2
bd,8
be,4
bf,7
bg,5
bo,2
br,56
bw,4
by,5
ca,60
cd,3
cf,2
ch,8
cl,519
cm,3
cn,90
co,2
cr,1
cu,1
cz,24
de,45
dk,5
dz,554
ec,1
ee,4
eg,24
es,47
et,6
fi,12
fr,68
gb,21
gh,1
gl,4
gr,1
gt,1
gy,1
hn,1
hr,3
hu,8
id,19
ie,5
il,2
in,132
iq,2
ir,3
it,35
jm,1
jp,56
ke,4
kh,2
kr,1
kz,14
lb,1
lk,2
ls,2
lt,4
lu,1
lv,3
ly,1509
ma,225
mg,1
ml,35
mm,3
mn,7
mr,16
mu,1
mw,6
mx,100
na,19
nc,1
ne,38
ng,15
nl,5
no,14
nz,11926
om,2988
pe,3
pf,257
pg,2
ph,5
pk,15
pl,17
pt,5
qa,9
re,2495
ro,10
rs,6
ru,130
sa,9
sd,10
se,29
si,2
sk,7
so,4
sy,1
sz,1
td,2
th,4
tm,7
tn,27
tr,12
tz,9
ua,41
ug,8
us,1645
uy,4
uz,1
ve,2
vn,3
ye,1
za,6443
zw,3
