recclass,name
Acapulcoite,37
Acapulcoite/Lodranite,5
Acapulcoite/lodranite,1
Achondrite-prim,3
Achondrite-ung,36
Angrite,10
Aubrite,53
Aubrite-an,5
Brachinite,23
C,8
C1/2-ung,1
C2,1
C2-ung,13
C3-ung,10
C3.0-ung,1
C4,2
C4-ung,3
C4/5,1
C5/6-ung,1
C6,2
CB,6
CBa,4
CBb,4
CH/CBb,1
CH3,19
CI1,7
CK,1
CK3,7
CK3-an,2
CK4,54
CK4-an,3
CK4/5,8
CK5,75
CK5/6,3
CK6,13
CM,3
CM-an,2
CM1,12
CM1/2,13
CM2,330
CO3,308
CO3.0,3
CO3.1,3
CO3.2,4
CO3.3,4
CO3.4,3
CO3.5,7
CO3.6,6
CO3.7,1
CO3.8,2
CR,7
CR-an,1
CR1,2
CR2,116
CR2-an,1
CR7,1
CV2,1
CV3,184
CV3-an,3
Chondrite-fusion crust,2
Chondrite-ung,9
Diogenite,178
Diogenite-an,2
Diogenite-olivine,7
Diogenite-pm,7
E,4
E-an,5
E3,205
E3-an,6
E4,4
E5,5
E5-an,1
E6,4
EH,1
EH-imp melt,6
EH3,67
EH3/4-an,1
EH4,17
EH4/5,9
EH5,6
EH6,3
EH6-an,1
EH7,1
EH7-an,1
EL-melt rock,2
EL3,17
EL4,11
EL4/5,1
EL5,4
EL6,56
EL6/7,1
EL7,1
Enst achon-ung,2
Eucrite,115
Eucrite-Mg rich,4
Eucrite-an,1
Eucrite-br,63
Eucrite-cm,20
Eucrite-mmict,84
Eucrite-pmict,169
Eucrite-unbr,29
Fusion crust,1
H,69
H(5?),2
H(?)4,1
H(L)3,1
H(L)3-an,1
H-an,4
H-imp melt,4
H-melt breccia,4
H-melt rock,5
H-metal,5
H/L3,1
H/L3.5,1
H/L3.6,1
H/L3.9,1
H/L4,10
H/L4-5,1
H/L5,5
H/L6,6
H/L~4,1
H3,313
H3 ,1
H3-4,8
H3-5,32
H3-6,40
H3-an,1
H3.0,3
H3.0-3.4,1
H3.05,2
H3.1,2
H3.10,2
H3.2,2
H3.2-3.7,1
H3.2-6,1
H3.2-an,3
H3.3,7
H3.4,16
H3.4-5,1
H3.4/3.5,1
H3.5,17
H3.5-4,1
H3.6,41
H3.6-6,2
H3.7,70
H3.7-5,2
H3.7-6,1
H3.7/3.8,1
H3.8,56
H3.8-4,1
H3.8-5,1
H3.8-6,1
H3.8-an,2
H3.8/3.9,1
H3.8/4,2
H3.9,36
H3.9-5,2
H3.9-6,4
H3.9/4,4
H3/4,30
H4,3880
H4 ,11
H4(?),1
H4-5,45
H4-6,57
H4-an,10
H4-melt breccia,1
H4/5,395
H4/6,6
H5,6243
H5 ,21
H5-6,58
H5-7,1
H5-an,2
H5-melt breccia,3
H5/6,166
H6,3898
H6 ,1
H6-melt breccia,3
H7,8
H?,2
Howardite,179
Howardite-an,1
H~4,17
H~4/5,2
H~5,106
H~6,19
Iron,71
"Iron, IAB complex",44
"Iron, IAB-MG",79
"Iron, IAB-an",3
